Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
72	20445.0	False	1.02	-0.02	-0.09	-0.11	0.17	0.09	22.71	21.14
73	20448.0	False	1.03	-0.02	-0.09	-0.14	-0.02	0.09	22.79	21.19
74	20504.0	False	1.03	-0.02	-0.09	0.0	-0.05	0.17	22.79	21.09
75	20506.0	False	1.03	-0.02	-0.09	0.02	0.06	-0.12	22.79	21.19
76	20490.0	False	1.02	-0.02	-0.09	-0.14	0.09	0.05	22.79	21.14
77	20502.0	False	1.03	-0.02	-0.09	0.12	-0.21	0.0	22.71	21.23
78	20500.0	False	1.03	-0.02	-0.09	0.03	0.05	-0.09	22.71	21.14
79	20497.0	False	1.03	-0.02	-0.08	-0.03	0.0	-0.02	22.71	21.09
80	20485.0	False	1.02	-0.03	-0.09	0.02	0.03	-0.06	22.79	21.09
81	20433.0	False	1.03	-0.02	-0.09	0.02	0.2	0.12	22.79	21.09
82	20443.0	False	1.03	-0.01	-0.09	-0.12	-0.21	0.12	22.79	21.09
83	20437.0	False	1.03	-0.02	-0.09	-0.09	0.2	-0.03	22.71	21.09
84	20436.0	False	1.03	-0.02	-0.09	-0.09	-0.15	0.05	22.79	21.14
85	20439.0	False	1.03	-0.02	-0.09	-0.14	-0.02	0.03	22.79	21.19
86	20429.0	False	1.02	-0.03	-0.09	-0.09	0.06	0.09	22.71	21.23
87	20430.0	False	1.03	-0.02	-0.09	0.03	0.08	-0.08	22.79	21.09
88	20434.0	False	1.03	-0.02	-0.09	0.02	0.08	0.08	22.71	21.23
89	20432.0	False	1.03	-0.02	-0.1	-0.14	-0.05	0.14	22.79	21.14
90	20441.0	False	1.02	-0.02	-0.08	0.06	0.03	0.03	22.79	21.14
91	20443.0	False	1.03	-0.02	-0.09	-0.12	0.09	0.14	22.79	21.09
92	20436.0	False	1.03	-0.02	-0.09	0.06	0.06	0.11	22.79	21.09
93	20441.0	False	1.03	-0.02	-0.09	0.0	0.09	0.06	22.79	21.14
94	20449.0	False	1.02	-0.02	-0.09	0.0	0.02	0.15	22.79	21.04
95	20430.0	False	1.03	-0.02	-0.1	-0.05	-0.05	0.14	22.79	21.09
96	20428.0	False	1.03	-0.02	-0.09	-0.11	-0.06	-0.06	22.79	21.19
97	20451.0	False	1.03	-0.02	-0.09	-0.02	-0.12	-0.08	22.71	21.04
98	20444.0	False	1.03	-0.02	-0.09	-0.06	0.17	-0.12	22.79	21.14
99	20452.0	False	1.03	-0.02	-0.09	0.06	0.02	0.0	22.79	21.0
100	20442.0	False	1.03	-0.02	-0.09	-0.03	-0.05	0.09	22.79	21.0
101	20479.0	False	1.03	-0.02	-0.09	0.2	-0.14	-0.15	22.71	21.09
102	20508.0	False	1.03	-0.02	-0.09	-0.09	-0.03	-0.03	22.71	21.14
103	20502.0	False	1.03	-0.02	-0.09	-0.11	0.0	0.17	22.79	21.09
104	20447.0	False	1.02	-0.02	-0.09	-0.17	-0.06	-0.05	22.79	21.14
105	20470.0	False	1.03	-0.02	-0.09	-0.09	0.23	0.02	22.79	21.14
106	20511.0	False	1.02	-0.02	-0.09	-0.02	-0.21	0.08	22.71	21.04
107	20473.0	False	1.03	-0.02	-0.09	0.11	-0.14	-0.08	22.71	21.14
108	20460.0	False	1.03	-0.02	-0.09	-0.08	-0.06	-0.09	22.79	21.09
109	20478.0	False	1.02	-0.02	-0.09	-0.11	-0.05	0.08	22.79	21.09
110	20512.0	False	1.03	-0.02	-0.09	-0.17	0.03	0.0	22.79	21.19
111	20458.0	False	1.04	-0.02	-0.09	-0.14	0.12	0.09	22.71	21.19
112	20467.0	False	1.03	-0.02	-0.09	-0.08	0.03	-0.06	22.79	21.09
113	20521.0	False	1.03	-0.03	-0.09	-0.11	-0.03	0.15	22.71	21.09
114	20492.0	False	1.03	-0.02	-0.09	-0.03	-0.09	0.02	22.79	21.09
