Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
493.00,242.33333333333334,True,0,0,0,0,0,0,0
494.00,242.5,True,0,0,0,0,0,0,0
495.00,242.33333333333334,True,0,0,0,0,0,0,0
496.00,242.16666666666666,True,0,0,0,0,0,0,0
497.00,242.33333333333334,True,0,0,0,0,0,0,0
498.00,242.5,True,0,0,0,0,0,0,0
499.00,242.0,True,0,0,0,0,0,0,0
500.00,242.0,True,0,0,0,0,0,0,0
501.00,241.83333333333334,True,0,0,0,0,0,0,0
502.00,241.83333333333334,True,0,0,0,0,0,0,0
503.00,242.0,True,0,0,0,0,0,0,0
504.00,242.0,True,0,0,0,0,0,0,0
505.00,242.33333333333334,True,0,0,0,0,0,0,0
506.00,242.0,True,0,0,0,0,0,0,0
507.00,242.16666666666666,True,0,0,0,0,0,0,0
508.00,242.16666666666666,True,0,0,0,0,0,0,0
509.00,241.83333333333334,True,0,0,0,0,0,0,0
510.00,241.83333333333334,True,0,0,0,0,0,0,0
511.00,241.83333333333334,True,0,0,0,0,0,0,0
512.00,242.0,True,0,0,0,0,0,0,0
513.00,242.0,True,0,0,0,0,0,0,0
514.00,241.83333333333334,True,0,0,0,0,0,0,0
515.00,241.83333333333334,True,0,0,0,0,0,0,0
516.00,241.83333333333334,True,0,0,0,0,0,0,0
517.00,242.16666666666666,True,0,0,0,0,0,0,0
518.00,242.33333333333334,True,0,0,0,0,0,0,0
519.00,242.0,True,0,0,0,0,0,0,0
520.00,241.66666666666666,True,0,0,0,0,0,0,0
521.00,241.83333333333334,True,0,0,0,0,0,0,0
522.00,241.5,True,0,0,0,0,0,0,0
523.00,242.0,True,0,0,0,0,0,0,0
524.00,242.0,True,0,0,0,0,0,0,0
525.00,241.83333333333334,True,0,0,0,0,0,0,0
526.00,241.5,True,0,0,0,0,0,0,0
527.00,241.5,True,0,0,0,0,0,0,0
528.00,241.66666666666666,True,0,0,0,0,0,0,0
Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
533.00,241.83333333333334,True,0,0,0,0,0,0,0
534.00,242.0,True,0,0,0,0,0,0,0
535.00,242.16666666666666,True,0,0,0,0,0,0,0
536.00,242.33333333333334,True,0,0,0,0,0,0,0
537.00,242.16666666666666,True,0,0,0,0,0,0,0
538.00,242.16666666666666,True,0,0,0,0,0,0,0
539.00,242.0,True,0,0,0,0,0,0,0
540.00,242.33333333333334,True,0,0,0,0,0,0,0
541.00,242.33333333333334,True,0,0,0,0,0,0,0
542.00,242.16666666666666,True,0,0,0,0,0,0,0
543.00,242.16666666666666,True,0,0,0,0,0,0,0
544.00,242.16666666666666,True,0,0,0,0,0,0,0
545.00,242.0,True,0,0,0,0,0,0,0
