Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
1.00,64.0,True,0,0,0,0,0,0,22.48235294117647
2.00,64.0,True,0,0,0,0,0,0,22.48235294117647
3.00,64.0,True,0,0,0,0,0,0,22.48235294117647
4.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
5.00,64.0,True,0,0,0,0,0,0,22.48235294117647
6.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
7.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
8.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
9.00,64.0,True,0,0,0,0,0,0,22.48235294117647
10.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
11.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
12.00,64.0,True,0,0,0,0,0,0,22.48235294117647
13.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
14.00,64.0,True,0,0,0,0,0,0,22.48235294117647
15.00,64.0,True,0,0,0,0,0,0,22.48235294117647
16.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
17.00,64.0,True,0,0,0,0,0,0,22.48235294117647
18.00,64.0,True,0,0,0,0,0,0,22.48235294117647
19.00,63.833333333333336,True,0,0,0,0,0,0,22.48235294117647
20.00,64.0,True,0,0,0,0,0,0,22.48235294117647
21.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
22.00,64.0,True,0,0,0,0,0,0,22.48235294117647
23.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
24.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
25.00,64.0,True,0,0,0,0,0,0,22.48235294117647
26.00,64.0,True,0,0,0,0,0,0,22.48235294117647
27.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
28.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
29.00,64.0,True,0,0,0,0,0,0,22.48235294117647
30.00,64.0,True,0,0,0,0,0,0,22.48235294117647
31.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
32.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
33.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
34.00,64.0,True,0,0,0,0,0,0,22.48235294117647
35.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
36.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
37.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
38.00,64.0,True,0,0,0,0,0,0,22.48235294117647
39.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
40.00,64.0,True,0,0,0,0,0,0,22.48235294117647
41.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
42.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
43.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
44.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
45.00,64.0,True,0,0,0,0,0,0,22.48235294117647
46.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
47.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
48.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
49.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
50.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
51.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
52.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
53.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
54.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
55.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
56.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
57.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
58.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
59.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
60.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
61.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
62.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
63.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
64.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
65.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
66.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
67.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
68.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
69.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
70.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
71.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
72.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
73.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
74.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
75.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
76.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
77.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
78.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
79.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
80.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
81.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
82.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
83.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
84.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
85.00,64.5,True,0,0,0,0,0,0,22.48235294117647
86.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
87.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
88.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
89.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
90.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
91.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
92.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
93.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
94.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
95.00,64.5,True,0,0,0,0,0,0,22.48235294117647
96.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
97.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
98.00,64.5,True,0,0,0,0,0,0,22.48235294117647
99.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
100.00,64.5,True,0,0,0,0,0,0,22.48235294117647
101.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
102.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
103.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
104.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
105.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
106.00,64.5,True,0,0,0,0,0,0,22.48235294117647
107.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
108.00,64.5,True,0,0,0,0,0,0,22.48235294117647
109.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
110.00,60.0,True,0,0,0,0,0,0,22.48235294117647
111.00,63.333333333333336,True,0,0,0,0,0,0,22.48235294117647
112.00,64.66666666666667,True,0,0,0,0,0,0,22.48235294117647
113.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
114.00,64.5,True,0,0,0,0,0,0,22.48235294117647
115.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
116.00,64.5,True,0,0,0,0,0,0,22.48235294117647
117.00,64.5,True,0,0,0,0,0,0,22.48235294117647
118.00,64.5,True,0,0,0,0,0,0,22.48235294117647
119.00,64.5,True,0,0,0,0,0,0,22.48235294117647
120.00,64.5,True,0,0,0,0,0,0,22.48235294117647
121.00,64.5,True,0,0,0,0,0,0,22.48235294117647
122.00,64.5,True,0,0,0,0,0,0,22.48235294117647
123.00,64.66666666666667,True,0,0,0,0,0,0,22.48235294117647
124.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
125.00,64.5,True,0,0,0,0,0,0,22.48235294117647
126.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
127.00,64.5,True,0,0,0,0,0,0,22.48235294117647
128.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
129.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
130.00,25.5,True,0,0,0,0,0,0,22.48235294117647
131.00,6.0,True,0,0,0,0,0,0,22.48235294117647
132.00,5.833333333333333,True,0,0,0,0,0,0,22.48235294117647
133.00,41.5,True,0,0,0,0,0,0,22.48235294117647
134.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
135.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
136.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
137.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
138.00,64.16666666666667,True,0,0,0,0,0,0,22.48235294117647
139.00,64.5,True,0,0,0,0,0,0,22.48235294117647
140.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
141.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
142.00,64.5,True,0,0,0,0,0,0,22.48235294117647
143.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
144.00,64.83333333333333,True,0,0,0,0,0,0,22.48235294117647
145.00,64.5,True,0,0,0,0,0,0,22.48235294117647
146.00,64.5,True,0,0,0,0,0,0,22.48235294117647
147.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
148.00,64.5,True,0,0,0,0,0,0,22.48235294117647
149.00,64.5,True,0,0,0,0,0,0,22.48235294117647
150.00,64.5,True,0,0,0,0,0,0,22.48235294117647
151.00,64.5,True,0,0,0,0,0,0,22.48235294117647
152.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
153.00,64.5,True,0,0,0,0,0,0,22.48235294117647
154.00,64.5,True,0,0,0,0,0,0,22.48235294117647
155.00,64.5,True,0,0,0,0,0,0,22.48235294117647
156.00,64.5,True,0,0,0,0,0,0,22.48235294117647
157.00,64.5,True,0,0,0,0,0,0,22.48235294117647
158.00,64.33333333333333,True,0,0,0,0,0,0,22.48235294117647
159.00,64.5,True,0,0,0,0,0,0,22.48235294117647
160.00,64.5,True,0,0,0,0,0,0,22.48235294117647
161.00,64.5,True,0,0,0,0,0,0,22.48235294117647
