Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
0	4.0	False	0.15	0.06	1.02	-0.03	-0.05	-0.12	40.26	21.14
1	4.0	False	0.15	0.05	1.02	-0.08	-0.31	-0.11	22.54	21.09
2	3.0	False	0.16	0.05	1.02	0.08	-0.09	0.05	22.45	21.0
3	3.0	False	0.15	0.05	1.02	-0.09	-0.09	-0.08	22.45	21.09
4	4.0	False	0.15	0.06	1.03	-0.06	-0.02	0.0	22.45	21.04
5	3.0	False	0.15	0.06	1.02	0.05	0.11	0.03	22.45	21.09
