Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
0.0	0	False	0.077880859375	0.011962890625	-1.013671875	0.07633587786259542	-0.12213740458015267	-0.12213740458015267	0	0
0.02	0	False	0.080322265625	0.007568359375	-1.009765625	-0.015267175572519083	-0.015267175572519083	0.07633587786259542	0	0
0.04	0	False	0.077880859375	0.012939453125	-1.013916015625	-0.0916030534351145	-0.07633587786259542	0.0	0	0
0.06	0	False	0.0791015625	0.013671875	-1.01953125	0.015267175572519083	0.13740458015267176	0.15267175572519084	0	0
0.08	0	False	0.08154296875	0.009521484375	-1.018310546875	-0.030534351145038167	-0.12213740458015267	-0.16793893129770993	0	0
0.1	0	False	0.072265625	0.007568359375	-1.0087890625	0.07633587786259542	0.0916030534351145	-0.015267175572519083	0	0
0.12	0	False	0.079345703125	0.009033203125	-1.01220703125	0.030534351145038167	-0.061068702290076333	0.04580152671755725	0	0
0.14	0	False	0.07470703125	0.011474609375	-1.00634765625	-0.07633587786259542	0.13740458015267176	-0.04580152671755725	0	0
0.16	0	False	0.07470703125	0.01171875	-1.013671875	-0.183206106870229	0.061068702290076333	-0.061068702290076333	0	0
0.18	0	False	0.0791015625	0.0107421875	-1.007568359375	0.04580152671755725	-0.04580152671755725	-0.0916030534351145	0	0
0.2	0	False	0.081298828125	0.0126953125	-1.013427734375	-0.10687022900763359	0.061068702290076333	0.12213740458015267	0	0
0.22	0	False	0.08349609375	0.01025390625	-1.013916015625	-0.04580152671755725	0.10687022900763359	-0.015267175572519083	0	0
0.24	0	False	0.082763671875	0.012451171875	-1.01611328125	0.061068702290076333	0.07633587786259542	0.015267175572519083	0	0
0.26	0	False	0.079345703125	0.010986328125	-1.013916015625	0.0	0.13740458015267176	-0.0916030534351145	0	0
0.28	0	False	0.080322265625	0.013916015625	-1.0146484375	0.0	-0.04580152671755725	0.04580152671755725	0	0
0.3	0	False	0.07421875	0.011474609375	-1.007080078125	-0.15267175572519084	-0.04580152671755725	0.030534351145038167	0	0
0.32	0	False	0.07763671875	0.00341796875	-1.010986328125	0.030534351145038167	0.0	0.15267175572519084	0	0
0.34	0	False	0.074462890625	0.009765625	-1.013671875	0.0	0.030534351145038167	-0.0916030534351145	0	0
0.36	0	False	0.081298828125	0.00634765625	-1.01025390625	-0.061068702290076333	0.030534351145038167	0.030534351145038167	0	0
0.38	0	False	0.07568359375	0.00732421875	-1.010498046875	-0.10687022900763359	0.04580152671755725	0.04580152671755725	0	0
0.4	0	False	0.081787109375	0.005126953125	-1.0166015625	-0.015267175572519083	-0.15267175572519084	0.030534351145038167	0	0
0.42	0	False	0.07421875	0.011962890625	-1.013671875	-0.1984732824427481	0.04580152671755725	0.2595419847328244	0	0
0.44	0	False	0.078369140625	0.01708984375	-1.019287109375	0.0	-0.030534351145038167	0.10687022900763359	0	0
0.46	0	False	0.075927734375	0.01318359375	-1.019775390625	0.015267175572519083	-0.07633587786259542	0.0916030534351145	0	0
0.48	0	False	0.084228515625	0.010986328125	-1.010498046875	-0.07633587786259542	-0.15267175572519084	-0.16793893129770993	0	0
0.5	0	False	0.07861328125	0.011474609375	-1.016845703125	0.015267175572519083	-0.061068702290076333	-0.0916030534351145	0	0
